127.0.0.1 - - [15/Jul/2018:11:25:32 +0200] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:28:24 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:28:24 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:34:24 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5578
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:34:24 +0200] "GET /ShopWEB/register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:34:24 +0200] "GET /ShopWEB/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:36:22 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:36:22 +0200] "GET /ShopWEB/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:36:22 +0200] "GET /ShopWEB/register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:37:28 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:37:32 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:37:33 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:38:22 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:38:23 +0200] "GET /ShopWEB/register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:38:23 +0200] "GET /ShopWEB/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:38:23 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:38:24 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:38:24 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:38:24 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:38:25 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:38:25 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:38:25 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:38:26 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:38:26 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:39:08 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5929
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:39:11 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5929
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:39:20 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:39:22 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:39:22 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:39:23 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:39:23 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:39:51 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:39:53 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:39:54 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:41:27 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:41:27 +0200] "GET /ShopWEB/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:41:27 +0200] "GET /ShopWEB/register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:41:29 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:41:30 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:41:30 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:41:30 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:41:30 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:43:03 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:43:17 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5917
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:43:42 +0200] "GET /ShopWEB/register.jsp?first_name=&last_name=&display_name=&email=&password=&password_confirmation= HTTP/1.1" 200 5895
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:43:42 +0200] "GET /ShopWEB/register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:44:13 +0200] "GET /ShopWEB/register.jsp?ime=&prezime=&drzava=&grad=&ulica=&username=&godine=&password=&password_potvrda= HTTP/1.1" 200 5895
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:44:13 +0200] "GET /ShopWEB/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2018:11:44:57 +0200] "GET /ShopWEB/register.jsp?ime=&prezime=&drzava=&grad=&ulica=&username=&godine=&password=&password_potvrda= HTTP/1.1" 200 5895
